Nombre Departamento;Nombre Municipio;Longitud;Latitud
ANTIOQUIA;RETIRO;-75,5013756659;6,06338107129
ANTIOQUIA;RIONEGRO;-75,3767667557;6,1472245313
ANTIOQUIA;SABANALARGA;-75,8166459364;6,85002081371
ANTIOQUIA;SABANETA;-75,6155845416;6,15096981767
ANTIOQUIA;SALGAR;-75,982048544;5,965640311
ANTIOQUIA;SAN ANDRÉS DE CUERQUÍA;-75,6747339859;6,91680279924
ANTIOQUIA;SAN CARLOS;-74,9879605158;6,18798980145
ANTIOQUIA;SAN FRANCISCO;-75,1015695493;5,96362010537
ANTIOQUIA;SAN JERÓNIMO;-75,7270000843;6,44806585636
ANTIOQUIA;SAN JOSÉ DE LA MONTAÑA;-75,6833564182;6,85008880044
ANTIOQUIA;SAN JUAN DE URABÁ;-76,5288010416;8,75934428139
ANTIOQUIA;SAN LUIS;-74,9936401255;6,04298332565
ANTIOQUIA;SAN PEDRO DE LOS MILAGROS;-75,5567189241;6,46013808244
ANTIOQUIA;SAN PEDRO DE URABÁ;-76,3805785791;8,27688468914
ANTIOQUIA;SAN RAFAEL;-75,0279828807;6,29375698332
ANTIOQUIA;SAN ROQUE;-75,0191661484;6,48594047044
ANTIOQUIA;SAN VICENTE FERRER;-75,3326113811;6,28215220866
ANTIOQUIA;SANTA BÁRBARA;-75,5673548634;5,87554181135
ANTIOQUIA;SANTA ROSA DE OSOS;-75,460740037;6,64332643406
ANTIOQUIA;SANTO DOMINGO;-75,1649580592;6,47283350377
ANTIOQUIA;EL SANTUARIO;-75,2654679804;6,13685720436
ANTIOQUIA;SEGOVIA;-74,701588722;7,07963898594
ANTIOQUIA;SONSÓN;-75,3093960124;5,7148075835
ANTIOQUIA;SOPETRÁN;-75,7472528656;6,50099259435
ANTIOQUIA;TÁMESIS;-75,7143199749;5,66446916892
ANTIOQUIA;TARAZÁ;-75,4014092118;7,58011943984
ANTIOQUIA;TARSO;-75,8229504893;5,86455255901
ANTIOQUIA;TITIRIBÍ;-75,791888749;6,06239757787
ANTIOQUIA;TOLEDO;-75,6914357609;7,01015899618
ANTIOQUIA;TURBO;-76,7291596582;8,08911317497
ANTIOQUIA;URAMITA;-76,1734055678;6,89849767647
ANTIOQUIA;URRAO;-76,1339511488;6,31731976564
ANTIOQUIA;VALDIVIA;-75,4391982543;7,1653440936
ANTIOQUIA;VALPARAÍSO;-75,6244635468;5,6145548154
ANTIOQUIA;VEGACHÍ;-74,7987268739;6,77345020849
ANTIOQUIA;VENECIA;-75,7355000679;5,96473060641
ANTIOQUIA;VIGÍA DEL FUERTE;-76,8961862476;6,58812341865
ANTIOQUIA;YALÍ;-74,8400531922;6,67657240531
ANTIOQUIA;YARUMAL;-75,4188327746;6,96387109143
ANTIOQUIA;YOLOMBÓ;-75,0133479509;6,59459588827
ANTIOQUIA;YONDÓ;-73,9124567851;7,00394143169
ANTIOQUIA;ZARAGOZA;-74,8670728872;7,48858244262
ATLÁNTICO;BARRANQUILLA;-74,8132169683;10,9783195607
ATLÁNTICO;BARANOA;-74,916106093;10,7948815688
ATLÁNTICO;CAMPO DE LA CRUZ;-74,8808535392;10,3782957218
ATLÁNTICO;CANDELARIA;-74,8799120495;10,4612089848
ATLÁNTICO;GALAPA;-74,8703439389;10,9191614915
ATLÁNTICO;JUAN DE ACOSTA;-75,0406070886;10,8323387608
ATLÁNTICO;LURUACO;-75,1422887632;10,6111248118
ATLÁNTICO;MALAMBO;-74,7748637454;10,856822692
ATLÁNTICO;MANATÍ;-74,9570353895;10,4489620358
ATLÁNTICO;PALMAR DE VARELA;-74,7547589307;10,7385825597
ATLÁNTICO;PIOJÓ;-75,1074681737;10,7493431731
ATLÁNTICO;POLONUEVO;-74,8531024212;10,7771663073
ATLÁNTICO;PONEDERA;-74,7539006043;10,6417959018
ATLÁNTICO;PUERTO COLOMBIA;-74,851963055;11,022939949
ATLÁNTICO;REPELÓN;-75,1254822303;10,4933403213
ATLÁNTICO;SABANAGRANDE;-74,7585063109;10,7910757719
